lead_id,lead_indicator,date_part,source,purchases,time_spent,customer_group,onboarding,customer_code,n_visits,bin_source
2,1.0,2024-01-27,signup,3,100.4736704078088,5,False,STWPXVNOWA,16,group1
10,0.0,2024-01-11,signup,8,105.89892497880784,4,True,JWLXPVANUM,4,group1
13,0.0,2024-01-22,signup,6,86.71722459773868,6,True,WNKCTHUHYI,5,group1
17,1.0,2024-01-07,signup,5,106.95199923447056,8,False,INIQMTGGOO,8,group1
19,0.0,2024-01-20,signup,3,94.66798969022712,9,True,SJGDAANOYJ,20,group1
22,0.0,2024-01-06,signup,5,83.24937281486473,3,True,SPWNMQUWDX,2,group1
27,1.0,2024-01-30,signup,2,112.00090426161913,1,True,IAPSPPLUZL,15,group1
28,1.0,2024-01-11,signup,3,74.75867273317984,8,True,EDWMENKILD,22,group1
29,0.0,2024-01-09,signup,6,114.65336143583444,3,False,DNGAQVVEDN,1,group1
30,1.0,2024-01-20,signup,5,119.3912311465342,4,False,WSQVNMPZOH,6,group1
32,0.0,2024-01-20,signup,4,86.70723555769624,9,False,GKIHITQJGU,7,group1
33,1.0,2024-01-31,signup,5,116.60042507974538,4,True,QOVDCTYYGT,12,group1
36,0.0,2024-01-28,signup,3,97.2485415667545,6,True,KYUCVVIKET,4,group1
38,1.0,2024-01-02,signup,5,119.59333357187066,2,True,HFELNNHTEW,9,group1
40,0.0,2024-01-01,signup,5,96.71810832286512,3,False,HOVYUZIDIO,4,group1
41,0.0,2024-01-09,signup,4,94.5664266108652,6,False,BBRMJIJJBF,2,group1
43,1.0,2024-01-13,signup,11,96.36995063138744,4,False,PWSIBFQQXN,13,group1
44,0.0,2024-01-31,signup,8,84.03568573138168,8,True,XNVURJEHVZ,2,group1
49,0.0,2024-01-29,signup,8,98.41382937085122,1,False,CPADDAXJVL,10,group1
55,1.0,2024-01-16,signup,9,95.57079787857352,9,False,ZQFIPOQZHG,6,group1
57,0.0,2024-01-31,signup,6,90.3344090449704,9,False,JFLRBCHQYR,3,group1
58,0.0,2024-01-26,signup,12,100.02661587840488,7,True,SOMOYBNEQM,6,group1
61,0.0,2024-01-03,signup,6,103.77171160080542,6,True,BTDCFQUACC,14,group1
68,0.0,2024-01-02,signup,6,94.2568211593974,9,False,HTUIUEAPSS,5,group1
72,0.0,2024-01-15,signup,4,108.54983690858126,5,True,KQAKBGLQBJ,2,group1
87,1.0,2024-01-26,signup,3,111.64738283239056,7,False,XJMJZQDDJC,10,group1
88,1.0,2024-01-19,signup,5,92.1686973895616,5,False,ILBYCVCCZP,5,group1
93,1.0,2024-01-12,signup,7,115.6297104636103,3,True,BNJNDMKIOK,8,group1
95,0.0,2024-01-07,signup,5,100.60175076496527,1,False,JBJDCNSVYQ,5,group1
97,0.0,2024-01-12,signup,2,102.83432551804502,3,False,EVTQSTMJAY,11,group1
104,1.0,2024-01-02,signup,4,83.14537653383184,1,True,IROQPSWYUC,15,group1
107,1.0,2024-01-17,signup,10,102.76304644632944,2,True,YHGCDBUZOO,13,group1
109,0.0,2024-01-23,signup,3,94.52850640643544,2,True,TUKZRKNGZC,1,group1
110,0.0,2024-01-01,signup,6,108.06151279697065,4,True,NWTUJSIWDD,4,group1
112,1.0,2024-01-18,signup,3,106.22273137964524,4,True,BPQXMGSSGK,7,group1
116,1.0,2024-01-28,signup,4,101.55155875618536,3,False,ANVCOQDWPG,26,group1
126,1.0,2024-01-12,signup,4,93.3007105454706,3,True,NBUXBYCSKE,19,group1
130,0.0,2024-01-04,signup,5,111.24927864936836,5,True,FBOBLIOYHV,5,group1
133,0.0,2024-01-12,signup,7,93.07633213437944,5,True,TLHITDPRSA,6,group1
141,0.0,2024-01-01,signup,6,82.01876634155049,7,False,JMFONJZUPE,8,group1
142,0.0,2024-01-17,signup,4,111.3291170535832,9,False,KNDCQISUNM,8,group1
146,1.0,2024-01-25,signup,8,100.83569817228522,9,False,UKEAVDRBIM,21,group1
148,0.0,2024-01-13,signup,3,111.11584773107472,2,True,VIQNDTATLY,6,group1
152,0.0,2024-01-29,signup,7,101.5583646851383,2,False,PKMEXRHJWN,2,group1
160,0.0,2024-01-23,signup,8,127.43840235756144,7,False,PJACVAGSNN,2,group1
167,0.0,2024-01-18,signup,6,94.11985007702344,1,False,MNCSDIPRDF,4,group1
169,1.0,2024-01-20,signup,4,100.28174587586498,6,False,CNNNKVXVBZ,14,group1
183,1.0,2024-01-06,signup,6,118.20725241944896,5,True,LUBQTNWDCM,12,group1
185,1.0,2024-01-02,signup,5,108.4671057041904,9,False,AACEDUWABX,31,group1
186,1.0,2024-01-12,signup,3,110.2739853172138,9,False,QGGDGUBOFX,33,group1
188,1.0,2024-01-04,signup,1,85.44462025039758,9,True,ETCMPIAOPD,26,group1
189,0.0,2024-01-23,signup,6,103.52277521433118,5,True,VOOTYELWHE,5,group1
190,0.0,2024-01-13,signup,3,94.46103687379949,5,False,CXUUCQWNNU,1,group1
